id,question,answer
632,Do Cathy Berberian and Dickran Tevrizian share the same profession ?,no
633,What occupation do Chris Menges and Aram Avakian share?,director
634,Who is the film dedicated to that Paramount Classics and MTV Films co-purchased the rights to?,Sam Phillips
635,"Who was the murderer sent to ""Old Smokey"" for allegedly commiting ""The Crime of the Century""?",Richard Hauptmann
636,Nostie lies a short distance from one of Scotland's popular tourist attractions a small tidal island dominated by a picturesque castle that frequently apperas in what?,"photographs, film and television"
637,Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis: Supersonic as a film producer?,James Gay-Rees
638,What is the name of the conditions that the radiologist who served as chief of radiology at the U.S. Army's flagship medical center from 1909 to 2011?,Hampton's hump and Hampton's line
639,"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone
640,Who was the opponent of the Republican of Indenosia when Nugroho Notosusanto served as a member of the Student Army,the Dutch Empire
641,What intrusment did Jem Finer play in the band The Pogues?,banjo player
642,Who directed the movie for which Jason O'Bryan was nominated for a grammy for best soundtrack?,Alfonso Cuarón
643,"What single was released by a American country singer, songwriter and multi-instrumentalist on MCA Nashville in 2000?",Feels Like Love
644,Are Broughtonia and Laeliocattleya both orchids?,yes
645,Christopher Oscar Pena was recognized by an entertainment-industry brand aimed at what?,people working in film and the performing arts
646,what are the low sea stacks in the Shetland Islands called?,Ramna Stacks
647,"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?","June 22, 1953"
648,What vocalist and pianist was recorded by Modular Recordings?,Karen O
649,The design team for role playing game Black Crusade featured the work of this designer who was the lead developer for what game?,Dark Heresy
650,"What ""God Gave Me You"" artist wrote the song ""Imagine That"" for Diamond Rio?",Bryan Shelton White
651,"Which games, Strange Synergy or Qwirkle,  is a card game published by Steve Jackson Games?",Strange Synergy
652,"Which author lived longer, Nelson Algren or Nathanael West?",Nelson Algren
653,"Which space mission did the man, in which the Onizuka Prop Wash Award is named after, perish?",STS-51-L
654,"How long does the lower level degree program, offered at Helene Fuld College of Nursing, typically last?",two years
655,"What band formed in 1995 and came out with an album called ""Welcome Interstate Managers'?",Fountains of Wayne
656,"what air force based named in honor of Carl Benjamin ""Ben"" Eielson is located 26 miles southeast of Fairbanks, Alaska?",Eielson Air Force Base
657, where is the American professional basketball team which Jalen Jones played for based,Louisiana.
658,Sebastian Gutierrez is known for writing the screenplay for the 2003 film directed by whom?,Mathieu Kassovitz
659,Roxie Hart starred the entertainer and comedic actor who had what nickname?,The King of Chutzpah
660,"What festival is held every June in Bartlesville, Oklahoma?",OK Mozart
661,What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett
662,"What is the scientific name of the true creature featured in ""Creature from the Black Lagoon?",Eucritta melanolimnetes
663,Which KaBoom! Entertainment Inc. film is based on a story by Rudyard Kipling?,The Jungle Book (1894)
664,Have tennis players Françoise Dürr and Mate Pavić both won a doubles title?,yes
665,"What coastal town in Australia did army personnel Robin Reid and Paul Luckman kidnap and bring teenage boys to beat, torture, and sexually assault them?","Kingscliff, New South Wales"
666,Where does Śivarāma Swami conduct courses on Vaishnava Theology?,in the village of Aldenham
667,"Barnstable County Hospital was the location of the autopsy of the son of President John F. Kennedy and Jacqueline Kennedy, and the younger brother of who?",Caroline Kennedy
668,The 2014–15 UEFA Champions League knockout phase lead to the final of the 23rd season since it was renamed from what?,European Champion Clubs' Cup
669,Are both American bands The Four Seasons and Local H popular around the Beatles were around?,no
670,The 2006 NCAA Wrestling Championships crowned Jake Rosholt and another athlete known for powerful punches from what hand?,left
671,"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",Matt Groening
672,What club does the footballer who surpassed David Beckham for the appearance record play for?,Premier League club Everton
673,when was american stunt performer which Stunt Cycle attempted to cash in with born ,"October 17, 1938"
674,"In what year was the Moldavian, later Romanian writer, known for his work ""The Goat and Her Three Kids"" born?",1837
675,"In what capacity did the author of the book,  An Inconvenient Truth,  serve in the United States government ? ",Vice President
676,What were the nations after 1722 that composed a culture that was extensively studied by William N. Fenton?,"Mohawk, Onondaga, Oneida, Cayuga, Seneca, and Tuscarora"
677,"When was the movie adaption of Jennifer Weiner's novel ""In Her Shoes"" released?",2005
678,Which auto club has sanctioned races run in California as well as Indianapolis?,United States Auto Club
679,The 2014 Baylor Bears football games were played at the stadium whose name was changed during what month?,December 2013
680,"The historical Nimavar school in the Nimavar Bazaar, or bazar, is located in which country?",Iran
681,What is part of an alternate title to a Three 6 Mafia song and is slang for a concoction which includes prescription-strength cough syrup also known as purple drank?,Sizzurp
682,Dahlia and Aruncus are both examples of what type of plant catagorization?,genus
683,"How many miles west of Phoenix, Arizona is the base where the 63d Fighter Squadron is assigned?",15
684,"Which  baseball team who represents Texas Tech University in NCAA Division I college baseball is  ""The Law"" its home stadium",Texas Tech Red Raiders baseball
685,"Corbin Sinclair Bryant played for the Buffalo Bills and what other NFL team that was founded in 1933, and is the oldest franchise in the AFC?",Pittsburgh Steelers
686,"What film was the screen debut of the musician nicknamed ""Lady Day""?",Symphony in Black
687,"Who wrote The Devils, and was an eninent English theater, opera and film director?",Peter Hall
688,"Fantasy Records is know for recordings of comedian Lenny Bruce, Creedence Clearwater Revival, and what American jazz pianist who composed the music for the animated television adaptations of the ""Peanuts"" comic strip?",Vincent Anthony Guaraldi
689,What team did Robbie Keane play for after Inter Milan?,Republic of Ireland national team
690,"What is the current capital of the district that Michael ""Mike"" Campbell is from?",Harare
691,"Horace Brindley played for what professional association football club that is based in the seaside town of Blackpool, Lancashire, England?",Blackpool Football Club
692,"Who did Muhummad Ali fight next, in Houston, after the so-called Fight of the Century with Joe Frazier?",Jimmy Ellis
693,"Which has a higher population, Qinzhou or Jingjiang? ",Jingjiang
694,Are Greater Swiss Mountain Dog and Harrier both dog breeds?,yes
695,What was the other name for the war between the Cherokee people and white settlers in 1793?,Chickamauga Wars
696,"In which year was the American politician, that both represented New York in the United States Senate and served as an adviser to President Richard Nixon, re-elected for a fourth term as U.S. Senator?",1994
697,Bobby Bowden coached which former Toronto Blue Jays minor league baseball player?,Chris Weinke
698,"Why are many of the band, Hirsute Pursuit's songs considered controversial?",men who have sex with men
699,Whose former city palace did Erna Flegel work at?,Prince Antoni Radziwiłł
700,Dan Balan co-wrote the song from what T.I. album?,Paper Trail
701,"how many films has the director of ""Girl 6"" produced since 1983?",over 35 films
702,"Which was formed first, the duo Big & Rich or Lonestar?",Lonestar
703,Who has the highest scope in profession in  Rob Thomas or  James Dean Bradfield,James Dean Bradfield
704,Are both Deerhunter and Nine Lashes American Christian rock bands?,no
705,"Which genus of plant grows originally in Mexico and Guatemala, Phylica or Weldenia?",Weldenia
706,Edithvale railway station is located on a line that is situated in what city?,"Melbourne, Australia"
707,"Nicholas Scibetta's hit man brother-in-law, who confessed to being involved in the murder of 19 people, helped prosecutors convict what Gambino family boss?",John Gotti
708,Which market town in Lancashire is part of the BB postcode area?,Burnley
709,What conference does the team that drafted Derrick Hamilton in 2004 belong to?,National Football Conference (NFC) West
710,"Los Angeles Historic-Cultural Monument (No. 139) hosted an event by what organization on Oct 12, 1991?",IFBB professional bodybuilding
711,"Who has won more Grand Slam women's doubles titles, Lisa Raymond or Liezel Huber?",Liezel Huber
712,"Which cast member of Pitch Perfect 2 was born March 9, 1986?",Brittany Snow
713,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",Argentinian
714,The Nun is based on what film series based on the real life cases of Ed and Lorraine Warren?,The Conjuring
715,"Which opera has more acts, Don Quichotte or Tosca?",Don Quichotte
716,Is Northeast Florida Regional Airport farther from St. Augustine than Glacier Park International Airport is to Kalispell?,no
717,The Plymouth fury produced from 1955 to 1989  was replaced by what for police and fleet applications?,Chrysler K platform
718,Which show co-hosted by Hoda Kotb was produced by Brian Balthazar?,the fourth hour of the TODAY Show
719,Multiple award-winning actor Gary Sinise appeared in The Stand in 1994 - a miniseries based on a novel and screenplay by which noted author?,Stephen King
720,"How many acts is the ballet Rita Sangalli premiered in, in the year 1876?",two or three acts
721,Who provided the source material for the 2015 Australian revenge comedy-drama film in which Rebecca Gibney featured? ,Rosalie Ham
722,Thunderbirds was a film featuring the exploits of what part of the Oklahoma Army National Guard?,45th Infantry Division
723,The community that contains Downtown Summerlin occupies how many acres?,"22,500 acres"
724,"On which station did the 2014 South Korean television series, starring the main rapper of boyband SS501, air?",KBS2
725,"Which river system in Chilhowie, Virginia was the starting place for most Longhunters?",Holston River
726,What is the name of the person that named Moltke Nunatak after the Chief of the German General staff that served from 1906 to 1914?,Second German Antarctic Expedition of 1911–12 under Wilhelm Filchner.
727,"What trio was the songwriter of ""What Are We Doin' Lonesome"" from?",trio with his younger brothers Steve and Rudy
728,Where is the 1999 British comedy-drama film starring Jimi Mistry set?,"Salford, Lancashire"
729,"Which restaurant chain's headquarters is further north, Pizza Inn or Papa Gino's?",Papa Gino's
730,At what stadium did Mychal George Thompson play home games with the San Antonio Spurs?,AT&T Center in San Antonio
731,What is the English translation of the noodle similar to Taglierini that is not tagliatelle?,little hairs
732,"Which writer is older, Joseph Epstein or Milan Kundera?",Milan Kundera
733,Which channel produced the ninth volume of the tv series that premiered as the same date as RuPaul's first album?,VH1
734,Dan Hurley is the brother of which head coach of Arizona State's men's basketball team?,Robert Matthew Hurley
735,"What Danish eurodance group had a single called ""Barbie Girl"" which resulted in a lawsuit in 2002?",Aqua
736,"When they were formed, did The Fatima Mansions or Nude have more members?",The Fatima Mansions
737,"Who else besides ""The Golden Jet"" was born in Point Anne, Ontario?","Dennis Hull, as well as painter Manley MacDonald."
738,"Under which ring name does the wrestler who participated in a taser match with Bam Bam Bigelow, associate himself with in the World Wrestling Federation?",Razor Ramon
739,"which German philosopher wrote ""The opera ""Lulu""  ",Theodor W. Adorno
740,Jihad: A Story of the Others is a documentary by the director who is of what descent?,Punjabi/Pashtun
741,"Where is the American honky tonk country band, whose first studio album was Honky Tonks and Cheap Motels, based?","Flint, Michigan, United States"
742,What Australian Electoral Division in New South Wales created in 1906 covers suburbs like Alexandria?,Division of Cook
743,"Besides the founder of Led Zeppelin, and Bert Jansch, what other to British musician was heavily influenced by Davey Graham?",Eric Clapton
744,When was the Chinese American electronic musician and singer who collaborated on the album I Remember born?,1989
745,What kind of result does 2013 Ghana Movie Awards and A Northern Affair have in common?,winners
746,With what team did the player who eclipsed Bill Madlock's batting title record for a third baseman win the World Series?,New York Yankees
747,What is the genus and species of the bear in which the Florida black bear is a subspecies of?,Ursus americanus
748,"Which city is at coastal county-level, Wenling or Ruili?",Wenling
749,What retailer did Albert Heijn start up that eventually merged with the Delhaize Group?,Koninklijke Ahold N.V.
750,What country of origin does The Late Late Show and Craig Kilborn have in common?,American
751,The State Theatre is part of a performing arts centre located in what Australian suburb?,Southbank
752,What was the Canadian movie called in Italy that stared a professional American football defensive end of the National Football League along with Michael Ironside?,Anno 2053
753,"The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?",between World War I and World War II
754,"Cowie Castle at Stonehaven, and Allardice Castle near Inverbervie, are part of a coastal chain of castles in Scotland overlooking which sea?",North Sea
755,"which star of Hwarang: The Poet Warrior Youth was born on November 16, 1991 ?",Park Hyung-Sik
756,"What Pakistani actor and writer from Islamabad helped write for the 2012 Pakistani comedy drama sitcom, ""Coke Kahani""?",Yasir Hussain
757,Substorm was described in qualitative terms by a scientist nominated for what seven times?,Nobel Prize
758,"When was one of the teacher of Nikolai Lugansky died who was a Russian Soviet pianist, composer?","1924November 22, 1993"
759,What Japanese fashion label was founded by the creator of Dover Street Market?,Comme des Garçons
760,The Soul of a Butterfly is an autobiography of a professional boxer that was born in what year?,1942
761,The uncle of Paul Capellani died at a military operation during a battle was fought between who?,the Allies and Nazi Germany
762,The General Survey Act was passed shortly after the Supreme Court decision that discussed what concept?,interstate commerce
763,Are Peter Balakian and James Der Derian both teachers?,yes
764,"Which California band, whose debut album Adrenaline appeared in 1995, has been referred to as ""the Radiohead of metal""?",Deftones
765,Which will be higher Time Warner Center or One Manhattan Square ?,One Manhattan Square
766,What philosophy related to creationism is Paul Nelson noted for?,intelligent design
767,Where is the location of Liberty Square park in Disneyland California?,Anaheim
768,How is the namesake of The Mountbatten Institute related to Elizabeth II?,second cousin once removed
769,Who coached the Indians and was the first Native American to win a gold metal his home country?,Jim Thorpe
770,What land elevation does Khunyang Chhish and Ismoil Somoni Peak have in common?,mountain
771,"What heritage site, known for a British explorer, is listed Seventeen Seventy Australia?",Captain Cook's Landing Place
772,"How many rooms are in the building built in 1883 at Garden City in Nassau County, New York?",500-room
773,Thomas Parker Sanborn was a model for the protagonist in the only novel by a poet originally from what country?,Spain
774,"The song by English indie rock band Florence and the Machine written by Florence Welch and Francis ""Eg"" White and released in 2011 is named after the painting which was completed in which year?",1938
775,"Which documentary was made first, The Shame of a City or Unchained Memories?",Unchained Memories
776,Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène
777,"What Taylor swift song released December 7, 2008 was written by the same writer as ""You Belong to Me""?",White Horse
778,"Who was born first, Ronnie Radke or Dave Brockie?",Dave Brockie
779,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982"
780,"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City
781,Milo Parker starred in which 2014 movie alongside Gillian Anderson?,Robot Overlords
782,"Gerald Grosvenor, 6th Duke of Westminster was succeeded by the British aristocrat who is estimated to be worth how much?",US$13 billion
783,A writer for The Kenyon Review won a Pulitzer Prize in what year?,1947
784,"Name the movie that was cowritten by Paul Rudd and the director of the 2011 British science fiction horror comedy film written and directed by Joe Cornish and starring John Boyega, Nick Frost, Jodie Whittaker and Luke Treadaway.",Ant-Man
785,In what town is Suffolk county hamlet that was served by the Suffolk Traction Company?,Town of Islip
786,Are Maro Ajemian and Patricia Field both pianists?,no
787,"Bandit was built in 1988 by which Japanese amusement ride company that built roller coasters, giant wheels, carousels, flumes, dark rides, sky cycles and other amusement rides?",TOGO company
788,In what year was the mathematician husband of Anneli Cahn Lax born?,1926
789,"Musical artist Diabolic and Vinnie Paz, who was featured on Diabolic's second studio album Fightin' Words, are both what type of musicians?",rapper
790,"Which American film director and actor famous for his role as Donny ""The Bear Jew"" Donowitz wrote the 2012 film ""The Man with the Iron Fists""?",Eli Roth
791,In what ecclesiastical province is Stephen Conway currently part of?,Province of Canterbury
792,Who founded the Canadian manufacturer of winter clothing which is a major sponsor of Polar Bears International?,Sam Tick
793,Who directed the 2015 South Korean drama film starring Hwang Jung-min?,Lee Seok-hoon
794,"Q: Which actor played a role in the comedy series ""30 Rock"" as well as the drama series ""Mad Men""? A: Jon Hamm",Jon Hamm
795,Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County
796,"Which music group has the most members, DC Talk, or Manchester Orchestra?",Manchester Orchestra
797,Are the films Gasland from 2010 and Pumping Iron from 1977 both documentaries?,yes
798,In which of the largest surviving medieval old towns in Europe is the Vilnius Cathedral located?,Vilnius Old Town
799,What album succeeded Kendrick Lamar's album that had the song Money Trees in it?,Section.80
800,Are both Viken Babikian and Don Manoukian American ?,yes
801,"How many albums had been recorded by Talking Heads by November, 1980?",four
802,Dunstan is an electoral district that includes which suburb of Adelaide in the City of Norwood Payneham St Peters?,College Park
803,Was 9/11: Press for Truth released prior to Chasing Coral?,yes
804,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,"Nairobi, Kenya"
805,Who made the If/Then musical which has a theatrical score by a man who won the Tony Award and 2008 Outer Critics Circle Award?,Brian Yorkey
806,Who choreographed one who is said to be the last muse for the choreographer and starred in the Nutcracker?,George Balanchine
807,Are the Chien Français Blanc et Orange and Cretan Hound both used for hunting in packs?,no
808,Fodder on My Wings is an album by a singer/pianist/songwriter born in which year ?,1933
809,What distinction about his birth makes the contemporary of Bill Pollack unique as a winner of the Formula One World Drivers' Championship?,American-born
810,Who else beside the  American university administrator and politician from the state of Oklahoma was part of the  Boren-McCurdy proposals?,David McCurdy
811,What years was the auto racing series held that was followed on by the 2016 Blancpain GT Series Sprint Cup?,2010 to 2012
812,What university did the winner of the 2014 CFL's Most Outstanding Defensive Player Award attend?,University of Hawaii at Manoa
813,"What song was on an American radio network that is owned by Disney Channels Worldwide, Inc. is a song by Senegalese-American R&B and rapper Akon? ","""Lonely"""
814,"How many miles does the train, which passes through the Amtrak Jacksonville station and shares the track with the Silver Meteor, run?",1522
815,What episode of South Park was the episode that aired in May before Funnybot?,146th
816,"What was the name of the bear promoted to corporal in the Polish army, and celebrated by an ongoing fundraising trust based in Scotland?",Wojtek
817,Is James Bourne a band member of both McBusted and The Auteurs?,no
818,What tribe was the Megaoryzomys curioi previously in that Nesoryzomys are also in?,Oryzomyini
819, Robert Smith founded the multinational company headquartered in what city?,"Golden Valley, Minnesota,"
820,"Which Republican Chairman was born June 1, 1956? ",Gregg Harper
821,"What I Saw: Reports from Berlin, 1920-1933 is a book by a writer born in which year ?",1894
822,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7 October 1978
823,What is this subfamily within the cat family Felidae named by Reginald Innes Pocock that is descendant of Pseudaelurus?,Pantherinae
824,What country does Haringey Heartlands and The Mall Wood Green have in common?,London
825,"Die Nacht was composed by German composer, Richard Strauss. What other well known operas did he compose?",Der Rosenkavalier
826,What date was the person born that Samuel Flores Borrego was the right hand man of? ,1 August 1971
827,Is Mary Pierce or Gustavo Kuerten the older tennis player?,Mary Pierce
828,"which actress was a notable practitioner at the white bear theatre and is also known for playing the role of melanie owen in the BBC one soap opera ""eatenders""?",Tamzin Outhwaite
829,"Who wrote the book that inspired the name of the CD/DVD ""Here at the End of All Things""?",J. R. R. Tolkien
830,"Which of the actors starred in ""Sollathaan Ninaikkiren"" was born in 7 November 1954?",Kamal Haasan
831,Sadok Sassi played for a national team that made its first World Cup in what year?,1978
832,What two positions did the man who broke Buzz Arlett's home run record play?,first baseman and third baseman
833,Where are Catcha Lake and Hedley Mascot Mine located?,"British Columbia, Canada"
834,The team that would become the Little Giants was located in the county seat of which Ohio county?,Mahoning County
835,Sporobolus and Zea are in the same what?,family
836,Who directed the film based on the rock opera 5:15 appeared in?,Franc Roddam
837,"When did Senator Ted Kennedy helped dedicate a new room at the location to his maternal grandfather, John F. Fitzgerald.",St. Patrick's Day in 1988
838,Extract starred what American actress who is known for her work on Saturday Night Live from 2005-2012?,Kristen Carroll Wiig
839,"Giuseppina Tuissi played a role in the execution of a National Fasict Party leader, as well as what female associated with the leader?",Clara Petacci
840,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh
841,Which school with which Gabriela Lemus has been affiliated is a member school of the Thurgood Marshall College Fund?,UDC
842,Which rebellion did Sir John Wedderburn and Charles Edward Stuart fight for that ended with defeat at the Battle of Culloden?,the unsuccessful Jacobite uprising of 1745
843,"The Prodigal Daughter, though a book about an American, is by a novelist of what nationality?",English
844,Were both Sinclair Research and the Wave Mate Bullet founded in the 1970s?,yes
845,"What city, located in Lincoln County, Montana, United States, is Vegepet based in?","Troy, Montana"
846,Did Billy Corgan's band The Smashing Pumpkins or Greek Fire originate in a more southern location?,Greek Fire
847,What do both Spider-Man and Spider-Man in film have in comman,comic
848,Who created the British television series to which Tofu was a sister series focusing on a range of sex attitudes in the twenty-first century from the viewpoint of everyday people?,Russell T Davies
849,Which band The Innocence Mission or Starflyer 59 was formed first ?,The Innocence Mission
850,"When was the Indian film actor, producer and playback singer born who debut with the 2000 War film, ""Refugee"" and had lead role in Main Prem Ki Diwani Hoon?",5 February 1976
851,"The world's greatest Super-Heroes anthology showcased one of four superheroes known for speaking the phrase ""SHAZAM"", what was their name?",Captain Marvel
852,"What Electoral Division in Victoria contained a suburb of Melbourne with a population of 25,147 at the 2016 Census?",The Division of Fawkner
853,Which film was released first out of The Hunchback of Notre Dame and Miracle of the White Stallions?,Miracle of the White Stallions
854,What was the code name of The landing barge primarily used to provide hot meals to the landing crew?,Operation Neptune
855,"Which 1994 British romantic comedy featured the song ""Love Is All Around""?",Four Weddings and a Funeral
856,Which movie produced by Esta Malka Charkham was the first to star a woman as the lead role?,Supergirl
857,"Stephen Joseph Bercik was mayer of a city that had a population of 124,969 as of the 2010 United States Census, and that has an estimated population of what for 2015?","129,007"
858,"Spawn, a fictional character who Mustafa Shakir has expressed interest in playing, was created by?",Todd McFarlane
859,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma"
860,Where does the state legislature in which John Coffin Talbot served convene?,the State House in Augusta
861,Spider9 was founded in 2011 by the head of which subsidiary of Wanxiang Group?,"A123 Systems, LLC"
862,"Alexander Young, also known as George Alexander, is the uncle to which Scottish musician who replaced Malcolm Young in the band AC/DC in 2014?",Stephen Crawford Young
863,Kent Dairy Round Barn is near the city in what Montana county?,Carbon
864,What made the man who abolished the Consell in 1718 resume the throne?,upon his son's death
865,What 3 countries are part of the legal name of the airline that merged with Braathens in 2004?,Denmark–Norway–Sweden
866,Town's first season in their new stadium was under the leadership of an English Football manager who was born when?,1 December 1948
867,Are Hanafuda and Okey both card games?,no
868,"Who was born first, Sathish Kalathil or Jacques Feyder?",Jacques Feyder
869,By what other names was the king known whose reign was the first included in the Year Books? ,Edward Longshanks and the Hammer of the Scots
870,What game where a play must act as a night security guard was a new intellectual property released in 2014?,Five Nights at Freddy's
871,In what year was the aviator in whose honour the Quai d'Auteuil was renamed born?,1872
872,What role did Slim Dunlap take when he joined the Minnesota band the Replacements in 1987?,guitarist
873,"What concert tour headlined by Coal Chamber in 1999 was named after the popular hit song by the Puerto Rican singer Ricky Martin, spanish for ""the crazy life""?",Livin' la Vida Loca
874,Bure Family Wines is named after former ice hockey player?,"Valeri Vladimirovich ""Val"" Bure"
875,In what order does Three Colours: Blue appear in the Three Colours trilogy?,first
876,What regular performer at the R-26 club in Paris was known for her banana-themed costume?,Josephine Baker
877,What city is the women's Vans Triple Crown of Surfing event hosted at?,City and County of Honolulu
878,"This American is best known for his work on such Disney animated films as ""Beauty and the Beast"" and a 1996 American animated musical drama film whose plot centers on who?",Quasimodo
879,Muslim Mahammad oglu Magomayev is the grandfther of what Soviet Azerbaijani singer who was dubbed the King of Songs?,Muslim Magometovich Magomayev
880,What was the name of the person that was interviewed and later written about by John G. Neihardt?,Black Elk
881,The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as what?,City Mazda Stadium
882,The director of Panic 5 Bravo was born in what year?,1978
883,Prince Michael of Prussia was a member of the house that arose in what town in the 11th century?,Hechingen in Swabia
884,"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen
885,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser
886,Where was the comedian from And There's More born? ,"Rochdale, North West England"
887,"Michael Braz completed a libretto for what Georgia college, founded in 1906?",A Scholar Under Siege
888,Jim Betts ran against the first American to orbit what?,Earth
889,Who is the father of the Prince in which William Joseph Weaver is most famous for painting a full length portrait of?,George III
890,How large of the area is the nature reserve south of Seacroft Esplanade?,4.3 km2
891,Are Bitter Jester and The Future of Food both documentaries about food?,no
892,The 1966–67 NHL season ended with a win in the Stanley Cup by the team from which division of the Eastern Conference?,Atlantic
893,"Which pizza shop opened first, Toppers Pizza or America's Incredible Pizza Company?",Toppers Pizza
894,Both Tim Conlon and Kehinde Wiley have what type of occupation?,artist
895,Crucible is a geodemography computer system created by a company that has stores in how many countries?,12
896,Wiener Werkstätte Style was part of the movement that took place during what eras?,late 19th and early 20th centuries
897,Woman's Era and Naj are what kind of magazines?,fortnightly women interest magazine
898,What 1986 drama directed by Lee Doo-yong starred Lee Mi-sook?,Mulberry
899,What is the given name of the character depicted as Juliet Hulme in Heavenly Creatures?,Anne Perry
900,In which football league does the son of Souleyman Sané play?,Premier League
901,What is the name the French give to the war during which the Prussians occupied the Pavillon du Butard?,War of 1870
902,How old was Virginia Bruce when she starred in Let Freedom Ring?,29
903,What is common between Matt Vasgersian and Michael Casey?,American
904,What party campaigned for the Irish Home Rule Movement?,The Home Rule League
905,"Which building will have more floors, 15 Penn Plaza, or 247 Cherry?",247 Cherry
906,"Which internationl football team has had a player endorse the ""Nike Hypervenom"" football boot?",England
907,"Who lived longer, Leonid Khachiyan or Nikolai Lobachevsky?",Nikolai Ivanovich Lobachevsky
908,Javier Frana and Thomaz Koch both share what occupation?,tennis player
909,Vincas Kudirka is the author of both the music and lyrics of a national anthem which has how many words?,fifty-word
910,What career led Brandon James Routh to move to the city where Brian Ralston lives?,an acting career
911,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the reissue of their third album?",13
912,Did Greg Costikyan have the same profession as John Dolmayan?  ,no
913,Stephen susco wrote a movie produced by which american film actor?,Sam Raimi
914,"What is the genus of the viral disease that has symptoms such as fever, chills, loss of appetite, nausea, muscle pains, and headaches, and has a chance of causing liver damage?",Flavivirus
915,Ali Eren Balıkel started a restaurant which hosted a number of famous figures including an English actor who won three consecutive what?,BAFTA Awards for Best Actress
916,Are Couroupita and Graptopetalum plants both native to central America?,yes
917,Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription
918,Who was the last king of the Shahiya?,Trilochanpala
919,What chef is the owner of a Japanese restaurant in the Tribeca neighborhood and also owns two Bar Masas in New York and Nevada?,"Masayoshi ""Masa"" Takayama"
920,In what year did Australian-born comedian Peter Helliar write I Love you Too?,2010
921,This Australian racing driver currently drives the No. 22 Holden VF Commodore produced by Holden Commodore which manufactures what other models?,sedan and station wagon
922,"Who is the director of Hollywood film ""7th Heaven"" (1927), Jerry Belson or  Frank Borzage?",Frank Borzage
923,"In which suburb of Melbourne, Australia did Harold Edward Holt go missing?","Portsea, Victoria"
924,What is another name for the people that the Torra di Tizzà was created to protect against?,Ottoman corsairs
925,"What is the other occupation of this Indian film actress who appeared in ""Hate Story 2"" (2014) and ""Saadi Love Story?""",dancer
926,What flow of goods and services were managed and distributed by General Blood?,"blood, platelets, and plasma"
927,Which St. Louis Rams season was the final full season played by the 2008 winner of the Heisman Trophy?,75th
928,"Which singer is also a comic book writer, Max Bemis or Robert Palmer?","Maxim ""Max"" Bemis"
929,Where does the descendant of the Red Setter originate? ,Scotland
930,Do the bands named Phoenix and Shearwater specialize in the exact same genre?,no
931,White love was what number of single created by a record label est in 2008 by Kim Shi Dao?,the second
932,What year was the actor son of Jeremiah Porter born? ,1997
933,"What country does Eric A. Sykes and Eccles, Greater Manchester have ion common?",England
934,"Ithihasa and the Indian music composer of  ""Chronic Bachelor"", ""Udayananu Tharam"", ""Naran"", ""Puthiya Mukham,"" ""Urumi"", ""Grandmaster"" and ""Bhaskar the Rascal"" are known in what type of films/cinema?",Malayalam
935,Alfie Allen played Theon Greyjoy on which show?,Game of Thrones
936,The project that Jeder Rappen zählt is inspired by began in what year?,2004
937,What was the release date and price for the release of Mac OS X that has the software for creating WWF files?,"April 29, 2005 for US$129.95"
938,Who was the fourth son of the lord of the Seventeen Provinces of the Netherlands in 1555?,Diego Félix of Austria
939,In the 2012-13 FC Sion they brought in Gennaro Gattuso and a player who now plays for what Scottish team?,Scottish Premiership club Hearts
940,"The actor known for his role as ""Freddie""  in The Deep Blue Sea won the Laurence Olivier Award for his role in which play?",Cymbeline
941,"Who directed the Hindi remake of the Korean film that starred Uhm Jung-hwa, Kim Sang-kyung, and Song Young-Chang?",Ribhu Dasgupta.
942,"Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?",Frank Lowy
